Suburb,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Acton,Café,Hotel,Coffee Shop,Mexican Restaurant,Italian Restaurant,Thai Restaurant,Japanese Restaurant,Sandwich Place,Plaza,Noodle House
Ainslie,Café,Hotel,Chinese Restaurant,Liquor Store,Asian Restaurant,Grocery Store,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop,Australian Restaurant
Amaroo,Café,Fast Food Restaurant,Supermarket,Shopping Plaza,Department Store,Sandwich Place,Social Club,Mobile Phone Shop,Shopping Mall,Coffee Shop
Aranda,Gym,Café,Supermarket,Hotel,Chinese Restaurant,Bookstore,Liquor Store,Gas Station,Market,Sports Club
Banks,Supermarket,Sandwich Place,Fried Chicken Joint,Bistro,Toy / Game Store,Fast Food Restaurant,Grocery Store,Pizza Place,Ethiopian Restaurant,Fish & Chips Shop
Barton,Café,Hotel,Thai Restaurant,Gastropub,Park,Italian Restaurant,Pub,Art Gallery,Gym / Fitness Center,Social Club
Belconnen,Supermarket,Shopping Plaza,Chinese Restaurant,Pharmacy,Hotel,Vietnamese Restaurant,Park,Paper / Office Supplies Store,Fast Food Restaurant,French Restaurant
Bonner,Café,Shopping Plaza,Business Service,Nature Preserve,Supermarket,Zoo,Fish Market,Fried Chicken Joint,French Restaurant,Fountain
Bonython,Grocery Store,Shopping Plaza,Pizza Place,Hardware Store,Thrift / Vintage Store,Coffee Shop,Paper / Office Supplies Store,French Restaurant,Fountain,Football Stadium
Braddon,Coffee Shop,Café,Hotel,Vietnamese Restaurant,Italian Restaurant,Sandwich Place,Pub,Burger Joint,Japanese Restaurant,Australian Restaurant
Bruce,Café,Gym,Basketball Stadium,Social Club,Motel,Chinese Restaurant,Football Stadium,Supermarket,Gas Station,Gastropub
Calwell,Supermarket,Veterinarian,Fast Food Restaurant,Sports Bar,Grocery Store,Shopping Mall,Shopping Plaza,Liquor Store,Athletics & Sports,Pizza Place
Campbell,Memorial Site,Café,Trail,Park,Sports Club,Plaza,Pub,Restaurant,Outdoor Sculpture,Nature Preserve
Capital Hill,Café,Hotel,Art Gallery,Shopping Plaza,Hotel Bar,Italian Restaurant,History Museum,Park,Gym / Fitness Center,Gastropub
Casey,Grocery Store,Shopping Mall,Gastropub,Market,Supermarket,Electronics Store,Ethiopian Restaurant,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant
Chapman,Supermarket,Bus Stop,Social Club,Soccer Field,Shopping Plaza,Diner,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Charnwood,Supermarket,Shopping Plaza,Gas Station,Convenience Store,Chinese Restaurant,Fast Food Restaurant,Grocery Store,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant
Chifley,Café,Grocery Store,Italian Restaurant,Fast Food Restaurant,Indian Restaurant,Social Club,Steakhouse,Ethiopian Restaurant,Pharmacy,Dessert Shop
Chisholm,Supermarket,Café,Shopping Mall,Pizza Place,Veterinarian,Sports Club,Liquor Store,Fast Food Restaurant,Paintball Field,Sports Bar
City,Café,Coffee Shop,Park,Hotel,History Museum,Australian Restaurant,Vietnamese Restaurant,Italian Restaurant,Exhibit,Plaza
Conder,Supermarket,Sandwich Place,Toy / Game Store,Bistro,Grocery Store,Veterinarian,Fast Food Restaurant,Pizza Place,Fried Chicken Joint,Food Court
Cook,Café,Gas Station,Supermarket,Social Club,Liquor Store,Sports Club,Burger Joint,Fruit & Vegetable Store,Hotel,Thrift / Vintage Store
Coombs,Animal Shelter,Pharmacy,Trail,Fast Food Restaurant,Gym,Electronics Store,Fish & Chips Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant
Crace,Grocery Store,Shopping Plaza,Gastropub,Park,Supermarket,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium,Food Court
Curtin,Café,Italian Restaurant,Lighting Store,Coffee Shop,Shopping Plaza,Skating Rink,Fruit & Vegetable Store,Government Building,Grocery Store,Supermarket
Deakin,Café,Supermarket,Pizza Place,Gym,Scenic Lookout,Coffee Shop,Shopping Plaza,Sports Club,Gas Station,Government Building
Denman Prospect,Café,Shopping Plaza,Supermarket,Zoo,Fish & Chips Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Dickson,Café,Chinese Restaurant,Grocery Store,Hotel,Vietnamese Restaurant,Shopping Plaza,Pub,Liquor Store,Vegetarian / Vegan Restaurant,Fish & Chips Shop
Downer,Café,Chinese Restaurant,Liquor Store,Asian Restaurant,Hotel,Shopping Plaza,Grocery Store,Fast Food Restaurant,Filipino Restaurant,Social Club
Duffy,Café,Indian Restaurant,Vietnamese Restaurant,Social Club,Shopping Plaza,Gym,Sandwich Place,Trail,Bus Stop,Event Space
Dunlop,Supermarket,Fast Food Restaurant,Fried Chicken Joint,Gas Station,Middle Eastern Restaurant,Chinese Restaurant,Shopping Plaza,Fish & Chips Shop,Exhibit,Food Court
Evatt,Grocery Store,Park,Fast Food Restaurant,Bakery,Shopping Plaza,Bus Stop,Convenience Store,Sports Club,Exhibit,Fish Market
Fadden,Supermarket,Pizza Place,Sports Club,Shopping Mall,Fast Food Restaurant,Café,Italian Restaurant,Convenience Store,Bus Stop,Mexican Restaurant
Farrer,Shopping Plaza,Gas Station,Malay Restaurant,Café,Bakery,Convenience Store,Market,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant
Fisher,Social Club,Supermarket,Construction & Landscaping,Café,Nature Preserve,Soccer Field,Grocery Store,Exhibit,Food Court,French Restaurant
Florey,Supermarket,Chinese Restaurant,Shopping Plaza,Café,Fast Food Restaurant,Sandwich Place,Thai Restaurant,Bubble Tea Shop,Clothing Store,Park
Flynn,Grocery Store,Fast Food Restaurant,Fried Chicken Joint,Gas Station,Middle Eastern Restaurant,Chinese Restaurant,Shopping Plaza,Fish & Chips Shop,Supermarket,Convenience Store
Forde,Shopping Plaza,Café,Italian Restaurant,Playground,Nature Preserve,Supermarket,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Forrest,Café,Hotel,Italian Restaurant,History Museum,Hotel Bar,Bakery,Pub,Social Club,Park,Thai Restaurant
Franklin,Supermarket,Department Store,Fast Food Restaurant,Pharmacy,Noodle House,Café,Mobile Phone Shop,Shopping Mall,Thai Restaurant,Sandwich Place
Fraser,Grocery Store,Fast Food Restaurant,Fried Chicken Joint,Gas Station,Middle Eastern Restaurant,Chinese Restaurant,Shopping Plaza,Fish & Chips Shop,Supermarket,Convenience Store
Fyshwick,Café,Fast Food Restaurant,Electronics Store,Liquor Store,Fruit & Vegetable Store,Clothing Store,Sandwich Place,Brewery,Diner,Donut Shop
Garran,Italian Restaurant,Grocery Store,Fast Food Restaurant,Scenic Lookout,Fish & Chips Shop,Newsstand,Chinese Restaurant,Café,Sports Club,Supermarket
Gilmore,Supermarket,Gym / Fitness Center,Café,Shopping Mall,Park,Paintball Field,Sports Club,Pub,Pizza Place,Fast Food Restaurant
Giralang,Park,Sports Club,Grocery Store,Gastropub,Shopping Plaza,Supermarket,Ethiopian Restaurant,Fish Market,Doner Restaurant,Fried Chicken Joint
Gordon,Supermarket,Grocery Store,Bistro,Pizza Place,Fried Chicken Joint,Bridge,Sandwich Place,Fast Food Restaurant,Toy / Game Store,Fruit & Vegetable Store
Gowrie,Supermarket,Sports Club,Shopping Mall,Café,Pizza Place,Pool,Dessert Shop,Park,Convenience Store,Sandwich Place
Greenway,Coffee Shop,Department Store,Supermarket,Thrift / Vintage Store,Electronics Store,Paper / Office Supplies Store,Fast Food Restaurant,Newsstand,Sandwich Place,Nature Preserve
Griffith,Café,Hotel,Italian Restaurant,Thai Restaurant,Deli / Bodega,Gastropub,Fruit & Vegetable Store,Australian Restaurant,Bakery,Social Club
Gungahlin,Café,Fast Food Restaurant,Supermarket,Department Store,Convenience Store,Social Club,Shopping Plaza,Shopping Mall,Sandwich Place,Coffee Shop
Hackett,Supermarket,Shopping Plaza,Business Service,Café,Golf Course,Filipino Restaurant,Fish & Chips Shop,Grocery Store,Fruit & Vegetable Store,Fried Chicken Joint
Harrison,Supermarket,Thai Restaurant,Soccer Field,Thrift / Vintage Store,Park,Filipino Restaurant,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Hawker,Shopping Plaza,Supermarket,Hotel,Chinese Restaurant,Vietnamese Restaurant,Baseball Field,Fast Food Restaurant,Fish & Chips Shop,Fried Chicken Joint,French Restaurant
Higgins,Supermarket,Chinese Restaurant,Fast Food Restaurant,Pizza Place,Baseball Field,Sports Club,Shopping Plaza,Coffee Shop,Grocery Store,Convenience Store
Holder,Café,Social Club,Thai Restaurant,Animal Shelter,Gym,Mexican Restaurant,Newsstand,Fast Food Restaurant,Department Store,Indian Restaurant
Holt,Sports Club,Supermarket,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Grocery Store,Sandwich Place,Convenience Store,Asian Restaurant,Pizza Place
Hughes,Café,Supermarket,Fast Food Restaurant,Coffee Shop,Multiplex,Steakhouse,Sports Club,Social Club,Shopping Plaza,Chinese Restaurant
Hume,Garden Center,IT Services,Electronics Store,Shipping Store,Climbing Gym,Zoo,Fish & Chips Shop,Fried Chicken Joint,French Restaurant,Fountain
Isaacs,Shopping Plaza,Gas Station,Bakery,Market,Malay Restaurant,Grocery Store,Convenience Store,Café,Farm,Dumpling Restaurant
Isabella Plains,Fast Food Restaurant,Grocery Store,Pizza Place,Pharmacy,Liquor Store,Supermarket,Shopping Plaza,Sports Bar,Coffee Shop,Shopping Mall
Jacka,Business Service,Café,Shopping Plaza,Supermarket,Zoo,Fish Market,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain
Kaleen,Supermarket,Café,Park,Fruit & Vegetable Store,Chinese Restaurant,Shopping Plaza,Basketball Stadium,Sports Club,Farm,Food Court
Kambah,Grocery Store,Supermarket,Gym / Fitness Center,Furniture / Home Store,Social Club,Buffet,Nature Preserve,Shopping Plaza,Café,Playground
Kingston,Café,Hotel,Italian Restaurant,Thai Restaurant,Coffee Shop,Gastropub,Bakery,Park,Chinese Restaurant,Liquor Store
Latham,Supermarket,Convenience Store,Fast Food Restaurant,Chinese Restaurant,Gas Station,Coffee Shop,Grocery Store,Sandwich Place,Sports Club,Asian Restaurant
Lawson,Café,Supermarket,Park,Sports Club,Grocery Store,Lake,Shopping Plaza,Fish & Chips Shop,Fried Chicken Joint,French Restaurant
Lyneham,Café,Chinese Restaurant,Asian Restaurant,Liquor Store,Pool,Market,Thai Restaurant,Pub,Newsstand,Racecourse
Lyons,Café,Supermarket,Fast Food Restaurant,Department Store,Social Club,Grocery Store,Bakery,Thai Restaurant,Vietnamese Restaurant,Sandwich Place
Macarthur,Supermarket,Shopping Mall,Pub,Pizza Place,Café,Gym / Fitness Center,Veterinarian,Park,Sports Club,Fountain
Macgregor,Sports Club,Supermarket,Shopping Plaza,Fast Food Restaurant,Coffee Shop,Fried Chicken Joint,Grocery Store,Sandwich Place,Chinese Restaurant,Convenience Store
Macnamara,Farm,Trail,Zoo,Fish & Chips Shop,Furniture / Home Store,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Macquarie,Café,Supermarket,Fast Food Restaurant,Social Club,Sandwich Place,Gas Station,Burger Joint,Department Store,Dessert Shop,Electronics Store
Mawson,Shopping Plaza,Café,Indian Restaurant,Steakhouse,Grocery Store,Malay Restaurant,Market,Gas Station,Fast Food Restaurant,Ethiopian Restaurant
McKellar,Park,Bus Stop,Bakery,Grocery Store,Sports Club,Fast Food Restaurant,Lake,Café,Shopping Plaza,French Restaurant
Melba,Grocery Store,Shopping Plaza,Fast Food Restaurant,Supermarket,Pharmacy,Fish & Chips Shop,Fried Chicken Joint,Gas Station,Middle Eastern Restaurant,Chinese Restaurant
Mitchell,Market,Yoga Studio,Thrift / Vintage Store,Grocery Store,Climbing Gym,Fast Food Restaurant,Event Space,Farmers Market,Sandwich Place,Food & Drink Shop
Molonglo,Shopping Plaza,Playground,Pizza Place,Gym / Fitness Center,Supermarket,Zoo,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Monash,Fast Food Restaurant,Pizza Place,Thrift / Vintage Store,Dessert Shop,Pool,Convenience Store,Sandwich Place,Noodle House,Newsstand,Shopping Mall
Moncrieff,Grocery Store,Business Service,Indian Restaurant,Zoo,Fish & Chips Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Narrabundah,Hotel,Fruit & Vegetable Store,Grocery Store,Liquor Store,Italian Restaurant,Golf Course,Go Kart Track,Supermarket,Market,Social Club
Ngunnawal,Grocery Store,Indian Restaurant,Playground,Convenience Store,Fast Food Restaurant,Shopping Mall,Sports Bar,Gastropub,Supermarket,Lake
Nicholls,Grocery Store,Gastropub,Zoo,Pub,Park,Fast Food Restaurant,Shopping Mall,Museum,Café,Sports Bar
O'Connor,Café,Hotel,Grocery Store,Basketball Stadium,Park,Sports Club,Nature Preserve,Light Rail Station,Restaurant,Rooftop Bar
O'Malley,Italian Restaurant,Sandwich Place,Newsstand,Shopping Plaza,Supermarket,Fast Food Restaurant,Grocery Store,Event Space,Fish Market,Fried Chicken Joint
Oxley,Coffee Shop,Supermarket,Fast Food Restaurant,Sports Club,Sandwich Place,Department Store,Newsstand,Thrift / Vintage Store,Electronics Store,Shopping Mall
Page,Café,Fast Food Restaurant,Supermarket,Thai Restaurant,Vietnamese Restaurant,Pizza Place,Sandwich Place,Chinese Restaurant,Department Store,Dessert Shop
Palmerston,Fast Food Restaurant,Department Store,Café,Grocery Store,Supermarket,Convenience Store,Social Club,Shopping Plaza,Shopping Mall,Sandwich Place
Parkes,Café,Hotel,History Museum,Park,Coffee Shop,Art Gallery,Italian Restaurant,Lounge,Burger Joint,Hotel Bar
Pearce,Café,Indian Restaurant,Arts & Crafts Store,Fast Food Restaurant,Electronics Store,Social Club,Shopping Plaza,Chinese Restaurant,Sandwich Place,Coffee Shop
Phillip,Café,Italian Restaurant,Grocery Store,Fast Food Restaurant,Indian Restaurant,Social Club,Supermarket,Ethiopian Restaurant,Pharmacy,Dessert Shop
Red Hill,Café,Italian Restaurant,Sports Club,Shopping Plaza,Sandwich Place,Supermarket,Burger Joint,Cantonese Restaurant,Scenic Lookout,Cocktail Bar
Reid,Café,Coffee Shop,Park,Hotel,Italian Restaurant,Vietnamese Restaurant,Burger Joint,Japanese Restaurant,Sandwich Place,Australian Restaurant
Richardson,Sports Bar,Café,Shopping Mall,Fast Food Restaurant,Paintball Field,Veterinarian,Liquor Store,Athletics & Sports,Supermarket,Sports Club
Rivett,Café,Social Club,Supermarket,Thai Restaurant,Indian Restaurant,Fast Food Restaurant,Soccer Field,Mexican Restaurant,Shopping Plaza,Newsstand
Russell,Café,Memorial Site,History Museum,Art Gallery,Gastropub,Thai Restaurant,Historic Site,Campground,Shopping Plaza,Sculpture Garden
Scullin,Supermarket,Shopping Plaza,Chinese Restaurant,Vietnamese Restaurant,Paper / Office Supplies Store,Baseball Field,Music Venue,Pharmacy,Hotel,Pizza Place
Spence,Grocery Store,Fast Food Restaurant,Café,Bakery,Convenience Store,Bus Stop,Shopping Plaza,Zoo,Fruit & Vegetable Store,Fried Chicken Joint
Stirling,Café,Social Club,Supermarket,Thai Restaurant,Grocery Store,Soccer Field,Mexican Restaurant,Shopping Plaza,Newsstand,Sandwich Place
Strathnairn,Sports Club,Trail,Art Gallery,Scenic Lookout,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium,Food Court
Taylor,Business Service,Café,Scenic Lookout,Zoo,Fish & Chips Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Theodore,Supermarket,Athletics & Sports,Shopping Mall,Liquor Store,Veterinarian,Fast Food Restaurant,Sports Bar,Doner Restaurant,Fruit & Vegetable Store,Fried Chicken Joint
Throsby,Supermarket,Business Service,Thai Restaurant,Soccer Field,Park,Fish & Chips Shop,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Torrens,Shopping Plaza,Café,Indian Restaurant,Convenience Store,Gas Station,Nature Preserve,Market,Malay Restaurant,Mountain,Ethiopian Restaurant
Turner,Café,Coffee Shop,Hotel,Italian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Thai Restaurant,Chinese Restaurant,Burger Joint,Plaza
Wanniassa,Fast Food Restaurant,Supermarket,Italian Restaurant,Gas Station,Pool,Dessert Shop,Convenience Store,Sandwich Place,Noodle House,Shopping Mall
Waramanga,Café,Supermarket,Social Club,Thai Restaurant,Bakery,Grocery Store,Soccer Field,Discount Store,Nature Preserve,Sandwich Place
Watson,Supermarket,Farmers Market,Motel,Shopping Plaza,Golf Course,Market,Fish & Chips Shop,Filipino Restaurant,Grocery Store,Fast Food Restaurant
Weetangera,Café,Supermarket,Fast Food Restaurant,Burger Joint,Vietnamese Restaurant,Dessert Shop,Bus Station,Department Store,Liquor Store,Bakery
Weston,Café,Thai Restaurant,Social Club,Animal Shelter,Grocery Store,Lighting Store,Mexican Restaurant,Newsstand,Fast Food Restaurant,Indian Restaurant
Wright,Animal Shelter,Trail,Pharmacy,Coffee Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium,Food Court
Yarralumla,Café,Pizza Place,Park,Supermarket,Grocery Store,Restaurant,Fish & Chips Shop,Sports Club,Garden Center,Gas Station
